id	nb_de	valeur_1	valeur_2	valeur_3	valeur_4	valeur_5	valeur_6
1	6	1	1	1	1	1	1
2	6	1	1	1	1	1	2
3	6	1	1	1	1	1	3
4	6	1	1	1	1	1	4
5	6	1	1	1	1	1	5
6	6	1	1	1	1	1	6
7	6	1	1	1	1	2	1
8	6	1	1	1	1	2	2
9	6	1	1	1	1	2	3
10	6	1	1	1	1	2	4
11	6	1	1	1	1	2	5
12	6	1	1	1	1	2	6
13	6	1	1	1	1	3	1
14	6	1	1	1	1	3	2
15	6	1	1	1	1	3	3
16	6	1	1	1	1	3	4
17	6	1	1	1	1	3	5
18	6	1	1	1	1	3	6
19	6	1	1	1	1	4	1
20	6	1	1	1	1	4	2
21	6	1	1	1	1	4	3
22	6	1	1	1	1	4	4
23	6	1	1	1	1	4	5
24	6	1	1	1	1	4	6
25	6	1	1	1	1	5	1
26	6	1	1	1	1	5	2
27	6	1	1	1	1	5	3
28	6	1	1	1	1	5	4
29	6	1	1	1	1	5	5
30	6	1	1	1	1	5	6
31	6	1	1	1	1	6	1
32	6	1	1	1	1	6	2
33	6	1	1	1	1	6	3
34	6	1	1	1	1	6	4
35	6	1	1	1	1	6	5
36	6	1	1	1	1	6	6
37	6	1	1	1	2	1	1
38	6	1	1	1	2	1	2
39	6	1	1	1	2	1	3
40	6	1	1	1	2	1	4
41	6	1	1	1	2	1	5
42	6	1	1	1	2	1	6
43	6	1	1	1	2	2	1
44	6	1	1	1	2	2	2
45	6	1	1	1	2	2	3
46	6	1	1	1	2	2	4
47	6	1	1	1	2	2	5
48	6	1	1	1	2	2	6
49	6	1	1	1	2	3	1
50	6	1	1	1	2	3	2
51	6	1	1	1	2	3	3
52	6	1	1	1	2	3	4
53	6	1	1	1	2	3	5
54	6	1	1	1	2	3	6
55	6	1	1	1	2	4	1
56	6	1	1	1	2	4	2
57	6	1	1	1	2	4	3
58	6	1	1	1	2	4	4
59	6	1	1	1	2	4	5
60	6	1	1	1	2	4	6
61	6	1	1	1	2	5	1
62	6	1	1	1	2	5	2
63	6	1	1	1	2	5	3
64	6	1	1	1	2	5	4
65	6	1	1	1	2	5	5
66	6	1	1	1	2	5	6
67	6	1	1	1	2	6	1
68	6	1	1	1	2	6	2
69	6	1	1	1	2	6	3
70	6	1	1	1	2	6	4
71	6	1	1	1	2	6	5
72	6	1	1	1	2	6	6
73	6	1	1	1	3	1	1
74	6	1	1	1	3	1	2
75	6	1	1	1	3	1	3
76	6	1	1	1	3	1	4
77	6	1	1	1	3	1	5
78	6	1	1	1	3	1	6
79	6	1	1	1	3	2	1
80	6	1	1	1	3	2	2
81	6	1	1	1	3	2	3
82	6	1	1	1	3	2	4
83	6	1	1	1	3	2	5
84	6	1	1	1	3	2	6
85	6	1	1	1	3	3	1
86	6	1	1	1	3	3	2
87	6	1	1	1	3	3	3
88	6	1	1	1	3	3	4
89	6	1	1	1	3	3	5
90	6	1	1	1	3	3	6
91	6	1	1	1	3	4	1
92	6	1	1	1	3	4	2
93	6	1	1	1	3	4	3
94	6	1	1	1	3	4	4
95	6	1	1	1	3	4	5
96	6	1	1	1	3	4	6
97	6	1	1	1	3	5	1
98	6	1	1	1	3	5	2
99	6	1	1	1	3	5	3
100	6	1	1	1	3	5	4
101	6	1	1	1	3	5	5
102	6	1	1	1	3	5	6
103	6	1	1	1	3	6	1
104	6	1	1	1	3	6	2
105	6	1	1	1	3	6	3
106	6	1	1	1	3	6	4
107	6	1	1	1	3	6	5
108	6	1	1	1	3	6	6
109	6	1	1	1	4	1	1
110	6	1	1	1	4	1	2
111	6	1	1	1	4	1	3
112	6	1	1	1	4	1	4
113	6	1	1	1	4	1	5
114	6	1	1	1	4	1	6
115	6	1	1	1	4	2	1
116	6	1	1	1	4	2	2
117	6	1	1	1	4	2	3
118	6	1	1	1	4	2	4
119	6	1	1	1	4	2	5
120	6	1	1	1	4	2	6
121	6	1	1	1	4	3	1
122	6	1	1	1	4	3	2
123	6	1	1	1	4	3	3
124	6	1	1	1	4	3	4
125	6	1	1	1	4	3	5
126	6	1	1	1	4	3	6
127	6	1	1	1	4	4	1
128	6	1	1	1	4	4	2
129	6	1	1	1	4	4	3
130	6	1	1	1	4	4	4
131	6	1	1	1	4	4	5
132	6	1	1	1	4	4	6
133	6	1	1	1	4	5	1
134	6	1	1	1	4	5	2
135	6	1	1	1	4	5	3
136	6	1	1	1	4	5	4
137	6	1	1	1	4	5	5
138	6	1	1	1	4	5	6
139	6	1	1	1	4	6	1
140	6	1	1	1	4	6	2
141	6	1	1	1	4	6	3
142	6	1	1	1	4	6	4
143	6	1	1	1	4	6	5
144	6	1	1	1	4	6	6
145	6	1	1	1	5	1	1
146	6	1	1	1	5	1	2
147	6	1	1	1	5	1	3
148	6	1	1	1	5	1	4
149	6	1	1	1	5	1	5
150	6	1	1	1	5	1	6
151	6	1	1	1	5	2	1
152	6	1	1	1	5	2	2
153	6	1	1	1	5	2	3
154	6	1	1	1	5	2	4
155	6	1	1	1	5	2	5
156	6	1	1	1	5	2	6
157	6	1	1	1	5	3	1
158	6	1	1	1	5	3	2
159	6	1	1	1	5	3	3
160	6	1	1	1	5	3	4
161	6	1	1	1	5	3	5
162	6	1	1	1	5	3	6
163	6	1	1	1	5	4	1
164	6	1	1	1	5	4	2
165	6	1	1	1	5	4	3
166	6	1	1	1	5	4	4
167	6	1	1	1	5	4	5
168	6	1	1	1	5	4	6
169	6	1	1	1	5	5	1
170	6	1	1	1	5	5	2
171	6	1	1	1	5	5	3
172	6	1	1	1	5	5	4
173	6	1	1	1	5	5	5
174	6	1	1	1	5	5	6
175	6	1	1	1	5	6	1
176	6	1	1	1	5	6	2
177	6	1	1	1	5	6	3
178	6	1	1	1	5	6	4
179	6	1	1	1	5	6	5
180	6	1	1	1	5	6	6
181	6	1	1	1	6	1	1
182	6	1	1	1	6	1	2
183	6	1	1	1	6	1	3
184	6	1	1	1	6	1	4
185	6	1	1	1	6	1	5
186	6	1	1	1	6	1	6
